"Structure","d (nm)","T max","λ max (nm)","τ UV"
"Pure ₂ ₃ Er ₂ O ₃","250","90.6 %","330","0.881"
"₂ ₃ Er ₂ O ₃ /Ag/ ₂ ₃ Er ₂ O ₃","45/4/45","82.0 %","334","0.803"
"","45/6/45","86.6 %","330","0.839"
"","45/8/45","87.6 %","330","0.849"
"","45/10/45","84.5 %","432","0.800"
"","45/12/45","87.4 %","512","0.824"
"Pure ₂ ₃ Ga ₂ O ₃","250","85.0 %","934","0.145"
"₂ ₃ Ga ₂ O ₃ /Ag/ ₂ ₃ Ga ₂ O ₃","45/4/45","78.8 %","398","0.714"
"","45/6/45","87.6 %","350","0.704"
"","45/8/45","84.6 %","324","0.685"
"","45/10/45","79.7 %","342","0.750"
"","45/12/45","85.0 %","336","0.647"
"Pure ₂ HfO ₂","250","93.8 %","398","0.885"
"₂ ₂ HfO ₂ / Ag / HfO ₂","45/4/45","85.8 %","396","0.825"
"","45/6/45","82.4 %","396","0.791"
"","45/8/45","84.4 %","356","0.823"
"","45/10/45","81.0 %","402","0.776"
"","45/12/45","85.0 %","496","0.802"
"Pure ₂ ₅ Ta ₂ O ₅","250","92.5 %","356","0.836"
"₂ ₅ Ta ₂ O ₅ /Ag/ ₂ ₅ Ta ₂ O ₅","45/4/45","82.8 %","362","0.779"
"","45/6/45","72.5 %","444","0.618"
"","45/8/45","75.6 %","488","0.548"
"","45/10/45","67.0 %","484","0.525"
"","45/12/45","60.9 %","500","0.472"
"Pure ₂ ZrO ₂","250","91.3 %","332","0.864"
"₂ ₂ ZrO ₂ / Ag / ZrO ₂","45/4/45","87.0 %","312","0.834"
"","45/6/45","87.6 %","350","0.856"
"","45/8/45","84.6 %","324","0.810"
"","45/10/45","79.7 %","342","0.776"
"","45/12/45","85.0 %","336","0.823"
